order_item_id,order_id,order_date,order_status,payment_method,shipping_method,promo_code,customer_id,customer_name,gender,age_group,loyalty_tier,store_id,store_name,city,state,region,latitude,longitude,product_id,product_name,brand,category,subcategory,quantity,unit_price,discount_pct,sales,cost,profit,returned,return_date
1,1,2025-04-30,Completed,Cash on Delivery,Store Pickup,LOYALTY20,663,Aarav Yadav,Male,18-24,Standard,19,Nagpur Civil Lines,Nagpur,Maharashtra,Central,21.1458,79.0882,73,FitMax Tent 1,FitMax,Sports,Outdoor,2,906.01,0.30000000000000004,1268.41,1347.96,-79.55,False,
2,2,2025-07-18,Completed,Cash on Delivery,Standard,NONE,42,Karan Malhotra,Female,25-34,Gold,17,Indore Vijay Nagar,Indore,Madhya Pradesh,Central,22.7533,75.8937,12,ZenMobile Student Laptop 6,ZenMobile,Technology,Laptops,1,7864.39,0.05,7471.17,4229.84,3241.33,False,
3,2,2025-07-18,Completed,Cash on Delivery,Standard,NONE,42,Karan Malhotra,Female,25-34,Gold,17,Indore Vijay Nagar,Indore,Madhya Pradesh,Central,22.7533,75.8937,36,Decora Cushion Set 6,Decora,Home,Decor,1,299.37,0,299.37,149.89,149.48,False,
4,3,2025-02-07,Completed,Cash on Delivery,Store Pickup,NONE,90,Vihaan Reddy,Male,25-34,Standard,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,86,NatureBox Sparkling Water 2,NatureBox,Grocery,Beverages,1,95.47,0,95.47,55.09,40.38,False,
5,3,2025-02-07,Completed,Cash on Delivery,Store Pickup,NONE,90,Vihaan Reddy,Male,25-34,Standard,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,48,CottonHub Kurti 6,CottonHub,Fashion,Womenswear,1,680.45,0,680.45,414.99,265.46,False,
6,3,2025-02-07,Completed,Cash on Delivery,Store Pickup,NONE,90,Vihaan Reddy,Male,25-34,Standard,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,72,ActivePro Skipping Rope 6,ActivePro,Sports,Fitness,1,2596.74,0.1,2337.07,1310.55,1026.52,False,
7,3,2025-02-07,Completed,Cash on Delivery,Store Pickup,NONE,90,Vihaan Reddy,Male,25-34,Standard,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,57,LuxeLook Moisturizer 3,LuxeLook,Beauty,Skincare,1,1261.15,0.1,1135.04,902.62,232.42,False,
8,4,2025-08-24,Completed,Debit Card,Express,NONE,425,Meera Reddy,Female,55+,Standard,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,68,FitMax Protein Shaker 2,FitMax,Sports,Fitness,4,5052.66,0,20210.64,11257.84,8952.8,False,
9,4,2025-08-24,Completed,Debit Card,Express,NONE,425,Meera Reddy,Female,55+,Standard,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,12,ZenMobile Student Laptop 6,ZenMobile,Technology,Laptops,1,7526.96,0.05,7150.61,4229.84,2920.77,False,
10,4,2025-08-24,Completed,Debit Card,Express,NONE,425,Meera Reddy,Female,55+,Standard,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,60,HerbalRay Face Mask 6,HerbalRay,Beauty,Skincare,2,847.15,0.1,1524.87,1400.34,124.53,False,
11,4,2025-08-24,Completed,Debit Card,Express,NONE,425,Meera Reddy,Female,55+,Standard,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,49,Stride Formal Shoes 1,Stride,Fashion,Footwear,1,955.28,0.05,907.52,606.3,301.22,False,
